"Parti","Fylke","Stemmer"
"A","Akershus",91364
"DEMN","Akershus",115
"DLF","Akershus",195
"FRP","Akershus",54658
"H","Akershus",108860
"KRF","Akershus",10377
"KRISTNE","Akershus",792
"KSP","Akershus",197
"KYST","Akershus",149
"MDG","Akershus",9804
"PIR","Akershus",1106
"PP","Akershus",1557
"RØDT","Akershus",2365
"SFP","Akershus",77
"SP","Akershus",8111
"SV","Akershus",11305
"V","Akershus",20217
"A","Aust-Agder",17623
"DEMN","Aust-Agder",46
"FRP","Aust-Agder",11278
"H","Aust-Agder",16303
"KRF","Aust-Agder",7019
"KRISTNE","Aust-Agder",862
"KSP","Aust-Agder",117
"KYST","Aust-Agder",35
"MDG","Aust-Agder",1242
"PIR","Aust-Agder",176
"PP","Aust-Agder",354
"RØDT","Aust-Agder",345
"SP","Aust-Agder",2815
"SV","Aust-Agder",1652
"V","Aust-Agder",3033
"A","Buskerud",47572
"DEMN","Buskerud",80
"FRP","Buskerud",27854
"H","Buskerud",43515
"KRF","Buskerud",4863
"KRISTNE","Buskerud",736
"KSP","Buskerud",125
"KYST","Buskerud",135
"MDG","Buskerud",3345
"PIR","Buskerud",508
"RØDT","Buskerud",905
"SFP","Buskerud",56
"SP","Buskerud",9110
"SV","Buskerud",4094
"V","Buskerud",6913
"A","Finnmark",15003
"DEMN","Finnmark",23
"FRP","Finnmark",6038
"H","Finnmark",8032
"KRF","Finnmark",1117
"KRISTNE","Finnmark",335
"KSP","Finnmark",41
"KYST","Finnmark",550
"MDG","Finnmark",844
"PIR","Finnmark",144
"RØDT","Finnmark",351
"SJALTA","Finnmark",467
"SP","Finnmark",1403
"SV","Finnmark",1952
"V","Finnmark",1359
"A","Hedmark",48694
"DEMN","Hedmark",63
"FRP","Hedmark",15316
"H","Hedmark",20600
"KRF","Hedmark",2871
"KRISTNE","Hedmark",414
"KYST","Hedmark",57
"MDG","Hedmark",2224
"PIR","Hedmark",311
"PP","Hedmark",1719
"RØDT","Hedmark",773
"SP","Hedmark",11483
"SV","Hedmark",4393
"V","Hedmark",3805
"A","Hordaland",71216
"DEMN","Hordaland",275
"FOLKEM","Hordaland",175
"FRP","Hordaland",43357
"H","Hordaland",89682
"KRF","Hordaland",22114
"KRISTNE","Hordaland",2422
"KYST","Hordaland",267
"MDG","Hordaland",9171
"NKP","Hordaland",127
"PIR","Hordaland",1062
"PP","Hordaland",631
"RØDT","Hordaland",2687
"SP","Hordaland",12490
"SV","Hordaland",14143
"V","Hordaland",16614
"A","Møre og Romsdal",36048
"DEMN","Møre og Romsdal",94
"FRP","Møre og Romsdal",28746
"H","Møre og Romsdal",37594
"KRF","Møre og Romsdal",12786
"KRISTNE","Møre og Romsdal",1534
"KYST","Møre og Romsdal",159
"MDG","Møre og Romsdal",1963
"PIR","Møre og Romsdal",479
"RØDT","Møre og Romsdal",642
"SP","Møre og Romsdal",11749
"SV","Møre og Romsdal",3532
"V","Møre og Romsdal",7965
"A","Nord-Trøndelag",32054
"DEMN","Nord-Trøndelag",38
"FRP","Nord-Trøndelag",9869
"H","Nord-Trøndelag",11128
"KRF","Nord-Trøndelag",2707
"KRISTNE","Nord-Trøndelag",283
"KSP","Nord-Trøndelag",107
"KYST","Nord-Trøndelag",81
"MDG","Nord-Trøndelag",1051
"PIR","Nord-Trøndelag",209
"RØDT","Nord-Trøndelag",423
"SP","Nord-Trøndelag",12796
"SV","Nord-Trøndelag",2596
"V","Nord-Trøndelag",3158
"A","Nordland",46743
"AKSJOLJE","Nordland",268
"DEMN","Nordland",60
"FRP","Nordland",25020
"H","Nordland",28271
"KRF","Nordland",4886
"KRISTNE","Nordland",698
"KYST","Nordland",424
"MDG","Nordland",2653
"NKP","Nordland",58
"PIR","Nordland",451
"PP","Nordland",416
"RØDT","Nordland",2164
"SFP","Nordland",92
"SP","Nordland",9237
"SV","Nordland",6907
"V","Nordland",4938
"A","Oppland",44050
"DEMN","Oppland",54
"DLF","Oppland",58
"FRP","Oppland",13683
"H","Oppland",20537
"KRF","Oppland",3418
"KRISTNE","Oppland",460
"KYST","Oppland",74
"MDG","Oppland",2583
"PIR","Oppland",298
"PP","Oppland",802
"RØDT","Oppland",817
"SP","Oppland",13162
"SV","Oppland",3165
"V","Oppland",4248
"A","Oslo",106001
"DEMN","Oslo",236
"DLF","Oslo",267
"FRP","Oslo",40660
"H","Oslo",103834
"KRF","Oslo",9850
"KRISTNE","Oslo",734
"KSP","Oslo",97
"KYST","Oslo",126
"MDG","Oslo",19356
"NKP","Oslo",143
"PIR","Oslo",1357
"PP","Oslo",1172
"RØDT","Oslo",11133
"SFP","Oslo",70
"SP","Oslo",2963
"SV","Oslo",21924
"V","Oslo",28619
"A","Østfold",54910
"DEMN","Østfold",99
"FRP","Østfold",30801
"H","Østfold",39703
"KRF","Østfold",8828
"KRISTNE","Østfold",1123
"KSP","Østfold",145
"KYST","Østfold",68
"MDG","Østfold",3168
"PIR","Østfold",516
"PP","Østfold",956
"RØDT","Østfold",1149
"SP","Østfold",6405
"SV","Østfold",3668
"V","Østfold",5723
"A","Rogaland",54462
"DEMN","Rogaland",115
"DLF","Rogaland",226
"FRP","Rogaland",45082
"H","Rogaland",72470
"KRF","Rogaland",25585
"KRISTNE","Rogaland",2296
"KSP","Rogaland",351
"KYST","Rogaland",202
"MDG","Rogaland",5267
"NKP","Rogaland",67
"PIR","Rogaland",865
"PP","Rogaland",1191
"RØDT","Rogaland",1060
"SP","Rogaland",12621
"SV","Rogaland",7908
"V","Rogaland",10827
"A","Sogn og Fjordane",17183
"DEMN","Sogn og Fjordane",32
"FRP","Sogn og Fjordane",6608
"H","Sogn og Fjordane",11635
"KRF","Sogn og Fjordane",4952
"KRISTNE","Sogn og Fjordane",515
"KYST","Sogn og Fjordane",100
"MDG","Sogn og Fjordane",1032
"PIR","Sogn og Fjordane",151
"RØDT","Sogn og Fjordane",386
"SP","Sogn og Fjordane",12619
"SV","Sogn og Fjordane",2076
"V","Sogn og Fjordane",3883
"A","Sør-Trøndelag",64351
"DEMN","Sør-Trøndelag",210
"DLF","Sør-Trøndelag",98
"FRP","Sør-Trøndelag",23871
"H","Sør-Trøndelag",38930
"KRF","Sør-Trøndelag",6562
"KRISTNE","Sør-Trøndelag",522
"KSP","Sør-Trøndelag",129
"KYST","Sør-Trøndelag",139
"MDG","Sør-Trøndelag",5540
"NKP","Sør-Trøndelag",97
"PIR","Sør-Trøndelag",857
"PP","Sør-Trøndelag",1590
"RØDT","Sør-Trøndelag",1667
"SP","Sør-Trøndelag",11351
"SV","Sør-Trøndelag",9992
"V","Sør-Trøndelag",9460
"A","Telemark",35963
"DEMN","Telemark",56
"FRP","Telemark",18564
"H","Telemark",21300
"KRF","Telemark",6610
"KRISTNE","Telemark",1017
"KSP","Telemark",116
"KYST","Telemark",68
"MDG","Telemark",2116
"PIR","Telemark",239
"RØDT","Telemark",884
"SP","Telemark",4360
"SV","Telemark",3192
"V","Telemark",3393
"A","Troms",27436
"DEMN","Troms",37
"FRP","Troms",17315
"H","Troms",19663
"KRF","Troms",3659
"KRISTNE","Troms",322
"KSP","Troms",92
"KYST","Troms",477
"MDG","Troms",2190
"NKP","Troms",78
"PIR","Troms",382
"RØDT","Troms",1608
"SP","Troms",5636
"SV","Troms",5688
"V","Troms",3687
"A","Vest-Agder",23227
"DEMN","Vest-Agder",516
"DLF","Vest-Agder",65
"FRP","Vest-Agder",17863
"H","Vest-Agder",26818
"KRF","Vest-Agder",13536
"KRISTNE","Vest-Agder",1975
"KYST","Vest-Agder",43
