"fylke","ft2012","ft2004","areal"
"Østfold",278352,256668,4180.68
"Akershus",556254,488618,4917.94
"Oslo",613285,521886,454.09
"Hedmark",192791,188326,27397.81
"Oppland",187147,183690,25192.09
"Buskerud",265164,242331,14910.93
"Vestfold",236424,219480,2225.05
"Telemark",170023,166124,15296.32
"Aust-Agder",111495,103374,9157.76
"Vest-Agder",174324,160127,7276.51
"Rogaland",443115,388848,9376.66
"Hordaland",490570,445059,15436.68
"Sogn og Fjordane",108201,107222,18619.21
"Møre og Romsdal",256628,244570,15099.69
"Sør-Trøndelag",297950,270266,18839.48
"Nord-Trøndelag",133390,127973,22415.02
"Nordland",238320,237057,38481.48
"Troms",158650,152628,25862.99
"Finnmark",73787,73210,48631.09
