"region";"tid";"statistikkvariabel";"Folkemengde 1. januar og endringer i kalenderåret, etter region, tid og statistikkvariabel"
"01 Østfold";"1951";"Folkemengde";185492
"01 Østfold";"1951";"Levendefødte";3177
"01 Østfold";"1951";"Døde";1537
"01 Østfold";"1951";"Innflyttinger";9512
"01 Østfold";"1951";"Utflyttinger";9148
"01 Østfold";"1952";"Folkemengde";187496
"01 Østfold";"1952";"Levendefødte";3298
"01 Østfold";"1952";"Døde";1720
"01 Østfold";"1952";"Innflyttinger";9777
"01 Østfold";"1952";"Utflyttinger";9697
"01 Østfold";"1953";"Folkemengde";189154
"01 Østfold";"1953";"Levendefødte";3300
"01 Østfold";"1953";"Døde";1642
"01 Østfold";"1953";"Innflyttinger";9812
"01 Østfold";"1953";"Utflyttinger";10158
"01 Østfold";"1954";"Folkemengde";190466
"01 Østfold";"1954";"Levendefødte";3320
"01 Østfold";"1954";"Døde";1601
"01 Østfold";"1954";"Innflyttinger";10763
"01 Østfold";"1954";"Utflyttinger";10396
"01 Østfold";"1955";"Folkemengde";192552
"01 Østfold";"1955";"Levendefødte";3245
"01 Østfold";"1955";"Døde";1624
"01 Østfold";"1955";"Innflyttinger";11025
"01 Østfold";"1955";"Utflyttinger";10331
"01 Østfold";"1956";"Folkemengde";194729
"01 Østfold";"1956";"Levendefødte";3424
"01 Østfold";"1956";"Døde";1817
"01 Østfold";"1956";"Innflyttinger";11270
"01 Østfold";"1956";"Utflyttinger";10994
"01 Østfold";"1957";"Folkemengde";196612
"01 Østfold";"1957";"Levendefødte";3336
"01 Østfold";"1957";"Døde";1633
"01 Østfold";"1957";"Innflyttinger";5012
"01 Østfold";"1957";"Utflyttinger";4967
"01 Østfold";"1958";"Folkemengde";198360
"01 Østfold";"1958";"Levendefødte";3256
"01 Østfold";"1958";"Døde";1891
"01 Østfold";"1958";"Innflyttinger";4659
"01 Østfold";"1958";"Utflyttinger";4340
"01 Østfold";"1959";"Folkemengde";200044
"01 Østfold";"1959";"Levendefødte";3444
"01 Østfold";"1959";"Døde";1833
"01 Østfold";"1959";"Innflyttinger";4364
"01 Østfold";"1959";"Utflyttinger";4385
"01 Østfold";"1960";"Folkemengde";201634
"01 Østfold";"1960";"Levendefødte";3151
"01 Østfold";"1960";"Døde";1933
"01 Østfold";"1960";"Innflyttinger";4935
"01 Østfold";"1960";"Utflyttinger";4865
"01 Østfold";"1961";"Folkemengde";202751
"01 Østfold";"1961";"Levendefødte";3265
"01 Østfold";"1961";"Døde";1880
"01 Østfold";"1961";"Innflyttinger";5116
"01 Østfold";"1961";"Utflyttinger";4518
"01 Østfold";"1962";"Folkemengde";204734
"01 Østfold";"1962";"Levendefødte";3287
"01 Østfold";"1962";"Døde";1987
"01 Østfold";"1962";"Innflyttinger";4727
"01 Østfold";"1962";"Utflyttinger";4711
"01 Østfold";"1963";"Folkemengde";206050
"01 Østfold";"1963";"Levendefødte";3311
"01 Østfold";"1963";"Døde";2148
"01 Østfold";"1963";"Innflyttinger";4856
"01 Østfold";"1963";"Utflyttinger";4745
"01 Østfold";"1964";"Folkemengde";207324
"01 Østfold";"1964";"Levendefødte";3442
"01 Østfold";"1964";"Døde";2025
"01 Østfold";"1964";"Innflyttinger";4892
"01 Østfold";"1964";"Utflyttinger";4513
"01 Østfold";"1965";"Folkemengde";209120
"01 Østfold";"1965";"Levendefødte";3514
"01 Østfold";"1965";"Døde";2089
"01 Østfold";"1965";"Innflyttinger";5137
"01 Østfold";"1965";"Utflyttinger";5044
"01 Østfold";"1966";"Folkemengde";210638
"01 Østfold";"1966";"Levendefødte";3459
"01 Østfold";"1966";"Døde";2122
"01 Østfold";"1966";"Innflyttinger";5298
"01 Østfold";"1966";"Utflyttinger";4918
"01 Østfold";"1967";"Folkemengde";212567
"01 Østfold";"1967";"Levendefødte";3547
"01 Østfold";"1967";"Døde";2169
"01 Østfold";"1967";"Innflyttinger";5427
"01 Østfold";"1967";"Utflyttinger";4762
"01 Østfold";"1968";"Folkemengde";214610
"01 Østfold";"1968";"Levendefødte";3513
"01 Østfold";"1968";"Døde";2289
"01 Østfold";"1968";"Innflyttinger";5742
