Fylke,Fylkenavn,Kommune,KommuneID,Parti,ForhåndsStemmer,StemmerTotalt,ProsentAndel,EndringStemmer03,EndringFordeling03,EndringStemmer01,EndringFordeling01
1,Østfold,Halden,0101,A,789,6256,39.5,2979,8.9,1415,7.5
1,Østfold,Halden,0101,SV,191,1343,8.5,-343,-7.3,-451,-3.4
1,Østfold,Halden,0101,RV,19,139,0.9,-141,-1.7,19,0.1
1,Østfold,Halden,0101,SP,59,687,4.3,18,-1.9,20,-0.1
1,Østfold,Halden,0101,KRF,151,1167,7.4,358,-0.2,-904,-6.3
1,Østfold,Halden,0101,V,70,636,4,463,2.4,284,1.7
1,Østfold,Halden,0101,H,190,1679,10.6,87,-4.3,-707,-5.2
1,Østfold,Halden,0101,FRP,407,3660,23.1,1858,6.3,1212,6.9
1,Østfold,Halden,0101,PP,30,105,0.7,-178,-2,-69,-0.5
1,Østfold,Halden,0101,RP,1,9,0.1,9,0.1,9,0.1
1,Østfold,Halden,0101,NKP,9,35,0.2,35,0.2,26,0.2
1,Østfold,Halden,0101,MDG,4,29,0.2,29,0.2,29,0.2
1,Østfold,Halden,0101,KYST,3,31,0.2,-9,-0.2,-40,-0.3
1,Østfold,Halden,0101,DEM,1,8,0.1,-26,-0.3,8,0.1
1,Østfold,Halden,0101,KSP,2,32,0.2,-32,-0.4,-6,0
1,Østfold,Halden,0101,ABORT,4,34,0.2,34,0.2,34,0.2
1,Østfold,Halden,0101,Andre2,0,0,0,0,0,-179,-1.2
1,Østfold,Moss,0104,A,920,5755,36.2,2208,4.9,1731,9.6
1,Østfold,Moss,0104,SV,299,1518,9.5,-228,-5.8,-761,-5.5
1,Østfold,Moss,0104,RV,29,178,1.1,-152,-1.8,7,0
1,Østfold,Moss,0104,SP,23,181,1.1,70,0.2,47,0.3
1,Østfold,Moss,0104,KRF,84,595,3.7,183,0.1,-639,-4.4
1,Østfold,Moss,0104,V,93,748,4.7,507,2.6,364,2.2
1,Østfold,Moss,0104,H,411,2527,15.9,612,-1,-1312,-9.5
1,Østfold,Moss,0104,FRP,535,4095,25.7,1450,2.4,1639,9.5
1,Østfold,Moss,0104,KYST,5,29,0.2,12,0,-51,-0.3
1,Østfold,Moss,0104,MDG,6,25,0.2,25,0.2,25,0.2
1,Østfold,Moss,0104,KSP,0,12,0.1,-14,-0.2,-12,-0.1
1,Østfold,Moss,0104,DEM,3,10,0.1,-37,-0.4,10,0.1
1,Østfold,Moss,0104,PP,60,201,1.3,-114,-1.5,-73,-0.5
1,Østfold,Moss,0104,NKP,1,8,0.1,8,0.1,-1,0
1,Østfold,Moss,0104,RP,0,3,0,3,0,3,0
1,Østfold,Moss,0104,ABORT,0,25,0.2,25,0.2,25,0.2
1,Østfold,Moss,0104,Andre2,0,0,0,0,0,-218,-1.4
1,Østfold,Sarpsborg,0105,A,1218,12164,42.6,4136,0.5,3106,9.1
1,Østfold,Sarpsborg,0105,SV,247,1749,6.1,57,-2.7,-1100,-4.4
1,Østfold,Sarpsborg,0105,RV,17,118,0.4,-18,-0.3,19,0
1,Østfold,Sarpsborg,0105,SP,75,971,3.4,157,-0.9,83,0.1
1,Østfold,Sarpsborg,0105,KRF,232,1963,6.9,590,-0.3,-1464,-5.8
1,Østfold,Sarpsborg,0105,V,90,821,2.9,635,1.9,281,0.9
1,Østfold,Sarpsborg,0105,H,322,2799,9.8,596,-1.8,-1813,-7.3
1,Østfold,Sarpsborg,0105,FRP,779,7450,26.1,3662,6.2,2760,8.7
1,Østfold,Sarpsborg,0105,KSP,4,44,0.2,-17,-0.2,-44,-0.2
1,Østfold,Sarpsborg,0105,PP,65,316,1.1,-398,-2.6,31,0.1
1,Østfold,Sarpsborg,0105,RP,2,9,0,9,0,9,0
1,Østfold,Sarpsborg,0105,NKP,4,15,0.1,15,0.1,6,0
1,Østfold,Sarpsborg,0105,MDG,4,31,0.1,31,0.1,31,0.1
1,Østfold,Sarpsborg,0105,DEM,4,21,0.1,-7,-0.1,21,0.1
1,Østfold,Sarpsborg,0105,KYST,4,79,0.3,18,0,-91,-0.4
1,Østfold,Sarpsborg,0105,ABORT,8,33,0.1,33,0.1,33,0.1
1,Østfold,Sarpsborg,0105,Andre2,0,0,0,0,0,-343,-1.3
1,Østfold,Fredrikstad,0106,A,1503,14584,36.1,6137,1.6,3313,6.7
1,Østfold,Fredrikstad,0106,SV,542,3395,8.4,283,-4.3,-1296,-3.8
1,Østfold,Fredrikstad,0106,RV,38,289,0.7,-12,-0.5,77,0.2
1,Østfold,Fredrikstad,0106,SP,84,938,2.3,166,-0.8,100,0.1
1,Østfold,Fredrikstad,0106,KRF,288,2427,6,813,-0.6,-1998,-5.5
1,Østfold,Fredrikstad,0106,V,171,1602,4,1120,2,614,1.4
1,Østfold,Fredrikstad,0106,H,646,4905,12.1,1359,-2.3,-2635,-7.5
1,Østfold,Fredrikstad,0106,FRP,1197,11363,28.1,6209,7.1,4766,10.9
1,Østfold,Fredrikstad,0106,NKP,5,30,0.1,30,0.1,-28,-0.1
1,Østfold,Fredrikstad,0106,DEM,19,55,0.1,-39,-0.2,55,0.1
1,Østfold,Fredrikstad,0106,RP,2,19,0,19,0,19,0
1,Østfold,Fredrikstad,0106,PP,78,460,1.1,-334,-2.1,-394,-1.1
1,Østfold,Fredrikstad,0106,KYST,12,136,0.3,40,-0.1,-66,-0.2
1,Østfold,Fredrikstad,0106,KSP,6,56,0.1,-9,-0.1,-41,-0.1
1,Østfold,Fredrikstad,0106,MDG,13,52,0.1,52,0.1,52,0.1
1,Østfold,Fredrikstad,0106,ABORT,11,88,0.2,88,0.2,88,0.2
1,Østfold,Fredrikstad,0106,Andre2,0,0,0,0,0,-542,-1.4
1,Østfold,Hvaler,0111,A,100,803,34.1,295,1.2,293,9.8
1,Østfold,Hvaler,0111,SV,35,177,7.5,13,-3.1,-71,-4.3
1,Østfold,Hvaler,0111,RV,4,23,1,-3,-0.7,13,0.5
1,Østfold,Hvaler,0111,SP,8,61,2.6,-27,-3.1,7,0
1,Østfold,Hvaler,0111,KRF,14,108,4.6,33,-0.3,-98,-5.2
1,Østfold,Hvaler,0111,V,12,119,5,85,2.8,56,2
1,Østfold,Hvaler,0111,H,65,357,15.1,18,-6.8,-167,-9.8
1,Østfold,Hvaler,0111,FRP,90,673,28.5,391,10.3,276,9.6
1,Østfold,Hvaler,0111,MDG,0,0,0,0,0,0,0
1,Østfold,Hvaler,0111,PP,3,16,0.7,8,0.2,-5,-0.3
1,Østfold,Hvaler,0111,NKP,0,2,0.1,2,0.1,2,0.1
1,Østfold,Hvaler,0111,RP,0,0,0,0,0,0,0
1,Østfold,Hvaler,0111,KYST,2,13,0.6,-1,-0.4,-20,-1
1,Østfold,Hvaler,0111,DEM,1,3,0.1,3,0.1,3,0.1
1,Østfold,Hvaler,0111,KSP,0,1,0,-5,-0.3,-3,-0.1
1,Østfold,Hvaler,0111,ABORT,0,2,0.1,2,0.1,2,0.1
1,Østfold,Hvaler,0111,Andre2,0,0,0,0,0,-31,-1.5
1,Østfold,Aremark,0118,A,31,276,31.5,78,3.4,86,9.4
1,Østfold,Aremark,0118,SV,4,42,4.8,6,-0.3,-25,-3
1,Østfold,Aremark,0118,RV,1,2,0.2,0,-0.1,2,0.2
1,Østfold,Aremark,0118,SP,11,141,16.1,-17,-6.3,-10,-1.4
1,Østfold,Aremark,0118,KRF,12,130,14.9,-4,-4.2,-63,-7.6
1,Østfold,Aremark,0118,V,5,26,3,18,1.8,13,1.5
1,Østfold,Aremark,0118,H,15,85,9.7,14,-0.4,-28,-3.4
1,Østfold,Aremark,0118,FRP,9,156,17.8,79,6.9,55,6.1
1,Østfold,Aremark,0118,DEM,0,0,0,-2,-0.3,0,0
1,Østfold,Aremark,0118,KSP,0,2,0.2,-5,-0.8,-8,-0.9
1,Østfold,Aremark,0118,KYST,0,1,0.1,-2,-0.3,-2,-0.2
1,Østfold,Aremark,0118,MDG,0,1,0.1,1,0.1,1,0.1
1,Østfold,Aremark,0118,NKP,0,0,0,0,0,0,0
1,Østfold,Aremark,0118,PP,1,7,0.8,-1,-0.3,-6,-0.7
1,Østfold,Aremark,0118,RP,0,0,0,0,0,0,0
1,Østfold,Aremark,0118,ABORT,0,6,0.7,6,0.7,6,0.7
1,Østfold,Aremark,0118,Andre2,0,0,0,0,0,-6,-0.7
1,Østfold,Marker,0119,A,60,703,34.8,328,3.9,203,9
1,Østfold,Marker,0119,SV,14,71,3.5,17,-0.9,-54,-2.9
1,Østfold,Marker,0119,RV,1,5,0.2,-4,-0.5,1,0
1,Østfold,Marker,0119,SP,18,298,14.7,-5,-10.2,1,-0.6
1,Østfold,Marker,0119,KRF,38,307,15.2,63,-4.9,-149,-8.3
1,Østfold,Marker,0119,V,7,79,3.9,64,2.7,44,2.1
1,Østfold,Marker,0119,H,26,166,8.2,61,-0.4,-132,-7.2
1,Østfold,Marker,0119,FRP,34,369,18.3,273,10.4,196,9.3
1,Østfold,Marker,0119,DEM,0,1,0,1,0,1,0
1,Østfold,Marker,0119,KSP,0,9,0.4,5,0.1,3,0.1
1,Østfold,Marker,0119,KYST,0,3,0.1,0,-0.1,-14,-0.7
1,Østfold,Marker,0119,MDG,2,3,0.1,3,0.1,3,0.1
1,Østfold,Marker,0119,NKP,0,0,0,0,0,0,0
1,Østfold,Marker,0119,PP,1,4,0.2,-2,-0.3,-7,-0.4
